id,food_id,nutrient_id,content
1,1,1,34
2,1,2,16.7
3,1,3,3.25
4,1,4,10.7
5,1,5,8
6,2,1,34
7,2,2,14.8
8,2,3,3.25
9,2,4,10.2
10,2,5,8
11,3,1,35
12,3,2,10
13,3,3,7.2
14,3,4,9
15,3,5,6.5
16,4,1,27
17,4,2,8.5
18,4,3,4.5
19,4,4,9
20,4,5,10
21,5,1,27
22,5,2,11
23,5,3,5.25
24,5,4,9.5
25,5,5,5
26,6,1,37
27,6,2,14.88
28,6,3,5.25
29,6,4,10.13
30,6,5,8
31,7,1,36
32,7,2,18.5
33,7,3,3
34,7,4,7.5
35,7,5,9
36,8,1,36
37,8,2,9
38,8,3,3.5
39,8,4,7
40,8,5,9
41,9,1,29
42,9,2,12
43,9,3,3
44,9,4,6
45,9,5,9
46,10,1,30
47,10,2,9
48,10,3,3
49,10,4,9
50,10,5,10
51,11,1,30
52,11,2,16
53,11,3,3
54,11,4,7
55,11,5,10
56,12,1,34
57,12,2,12
58,12,3,7
59,12,4,8.5
60,12,5,12
61,13,1,34
62,13,2,14
63,13,3,3
64,13,4,8.5
65,13,5,12
66,14,1,30
67,14,2,17.5
68,14,3,2
69,14,4,6.5
70,14,5,8
71,15,1,29
72,15,2,8
73,15,3,3
74,15,4,7.5
75,15,5,8
