No,food_name,amount
1,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,0.072
2,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,0.072
3,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,0.072
4,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,0.19
5,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,0.19
6,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,0.19
7,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,0.19
8,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,0.76
9,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,1.52
10,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,0.76
11,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,1.52
12,チャオ　すごい乳酸菌　クランキー　ほたて味,0.76
13,チャオ　すごい乳酸菌　クランキー　ほたて味,1.52
14,チャオ　すごい乳酸菌　クランキー　チキン味,0.76
15,チャオ　すごい乳酸菌　クランキー　チキン味,1.52
16,チャオ　すごい乳酸菌　クランキー　かつお節味,0.76
17,チャオ　すごい乳酸菌　クランキー　かつお節味,1.52
18,チャオ　すごい乳酸菌　クランキー　まぐろ節味,0.76
19,チャオ　すごい乳酸菌　クランキー　まぐろ節味,1.52
20,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,0.76
21,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,0.76
22,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,0.76
23,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,0.76
24,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,1.52
25,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,0.76
26,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,1.52
27,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,0.76
28,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,1.52
29,いなば　金のだし　ドライ　かつおだし味,1
30,いなば　金のだし　ドライ　まぐろだし味,1
31,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,0.2
32,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,0.2
33,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,0.2
34,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,0.2
35,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,0.2
36,チャオ　すごいカテキン　クランキー　チキンバラエティ,0.2
37,チャオ　すごいカテキン　クランキー　かつお節バラエティ,0.2
38,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,0.2
39,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　シーフードバラエティ,0.2
40,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節・かつお節バラエティ,0.2
41,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　チキンバラエティ,0.2
42,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節バラエティ,0.2
43,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節バラエティ,0.2
44,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　子ねこ用　まぐろ節ミックス味,0.2
45,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　本格鰹だし味,0.2
46,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　かつお節ミックス味,0.2
47,チャオ　すごい乳酸菌　すごい乳酸菌クランキー　まぐろ節ミックス味,0.2
48,チャオ　すごい乳酸菌　クランキー牛乳パック　チキン味,0.4
49,チャオ　すごい乳酸菌　クランキー牛乳パック　ほたて味,0.4
50,チャオ　すごい乳酸菌　クランキー牛乳パック　かつお節味,0.4
51,チャオ　すごい乳酸菌　クランキー牛乳パック　まぐろ節味,0.4
52,チャオ　クランキー　500gかつお節入り　チキンミックス味,0.5
53,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　かつおミックス味,0.5
54,チャオ　すごい乳酸菌　クランキー　500gかつお節入り　まぐろミックス味,0.5
55,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,0.6
56,ビューティープロ　キャット　子猫用　１２ヵ月頃まで,1.5
57,ビューティープロ　キャット　成猫用　１歳から,0.6
58,ビューティープロ　キャット　成猫用　１歳から,1.5
59,ビューティープロ　キャット　成猫用　１歳から　チキン味,1.5
60,ビューティープロ　キャット　避妊・去勢後用,0.56
61,ビューティープロ　キャット　避妊・去勢後用,1.4
