No(idではない),food_name,nutrient_name,content
1,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,タンパク質,30
2,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,脂質,12
3,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,粗繊維,3
4,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,灰分,9
5,チャオ　すごい乳酸菌　クランキー　超小粒　チキン味,水分,10
6,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,タンパク質,30
7,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,脂質,12
8,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,粗繊維,3
9,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,灰分,9
10,チャオ　すごい乳酸菌　クランキー　超小粒　かつお節味,水分,10
11,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,タンパク質,30
12,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,脂質,12
13,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,粗繊維,3
14,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,灰分,9
15,チャオ　すごい乳酸菌　クランキー　超小粒　まぐろ節味,水分,10
16,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,タンパク質,30
17,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,脂質,12
18,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,粗繊維,3
19,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,灰分,9
20,チャオ　ちゅ～る和え　190g　まぐろ節ミックス味　小魚入り,水分,10
21,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,タンパク質,30
22,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,脂質,12
23,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,粗繊維,3
24,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,灰分,9
25,チャオ　ちゅ～る和え　190g　チキンミックス味　まぐろチップ入り,水分,10
26,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,タンパク質,30
27,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,脂質,12
28,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,粗繊維,3
29,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,灰分,9
30,チャオ　クランキー　ちゅ～る和え　190ｇかつお節ミックス味,水分,10
31,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,タンパク質,30
32,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,脂質,12
33,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,粗繊維,3
34,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,灰分,9
35,チャオ　ちゅ～る和え　190ｇまぐろ節ミックス味,水分,10
36,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,タンパク質,30
37,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,脂質,12
38,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,粗繊維,8
39,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,灰分,9
40,チャオ　すごい乳酸菌　クランキー　子ねこ用　まぐろ節味,水分,10
41,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,タンパク質,30
42,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,脂質,12
43,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,粗繊維,8
44,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,灰分,9
45,チャオ　すごい乳酸菌　クランキー　本格鰹だし味,水分,10
46,チャオ　すごい乳酸菌　クランキー　ほたて味,タンパク質,30
47,チャオ　すごい乳酸菌　クランキー　ほたて味,脂質,12
48,チャオ　すごい乳酸菌　クランキー　ほたて味,粗繊維,8
49,チャオ　すごい乳酸菌　クランキー　ほたて味,灰分,9
50,チャオ　すごい乳酸菌　クランキー　ほたて味,水分,10
51,チャオ　すごい乳酸菌　クランキー　チキン味,タンパク質,30
52,チャオ　すごい乳酸菌　クランキー　チキン味,脂質,12
53,チャオ　すごい乳酸菌　クランキー　チキン味,粗繊維,8
54,チャオ　すごい乳酸菌　クランキー　チキン味,灰分,9
55,チャオ　すごい乳酸菌　クランキー　チキン味,水分,10
56,チャオ　すごい乳酸菌　クランキー　かつお節味,タンパク質,30
57,チャオ　すごい乳酸菌　クランキー　かつお節味,脂質,12
58,チャオ　すごい乳酸菌　クランキー　かつお節味,粗繊維,8
59,チャオ　すごい乳酸菌　クランキー　かつお節味,灰分,9
60,チャオ　すごい乳酸菌　クランキー　かつお節味,水分,10
61,チャオ　すごい乳酸菌　クランキー　まぐろ節味,タンパク質,30
62,チャオ　すごい乳酸菌　クランキー　まぐろ節味,脂質,12
63,チャオ　すごい乳酸菌　クランキー　まぐろ節味,粗繊維,8
64,チャオ　すごい乳酸菌　クランキー　まぐろ節味,灰分,9
65,チャオ　すごい乳酸菌　クランキー　まぐろ節味,水分,10
66,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,タンパク質,30
67,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,脂質,12
68,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,粗繊維,3
69,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,灰分,9
70,チャオ　Cozy　Life（コージーライフ）　クランキー　子ねこ用　まぐろ節味,水分,10
71,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,タンパク質,30
72,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,脂質,12
73,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,粗繊維,3
74,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,灰分,9
75,チャオ　Cozy　Life（コージーライフ）　クランキー　本格鰹だし味,水分,10
76,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,タンパク質,30
77,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,脂質,12
78,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,粗繊維,3
79,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,灰分,9
80,チャオ　Cozy　Life（コージーライフ）　クランキー　ほたて味,水分,10
81,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,タンパク質,30
82,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,脂質,12
83,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,粗繊維,3
84,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,灰分,9
85,チャオ　Cozy　Life（コージーライフ）　クランキー　チキン味,水分,10
86,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,タンパク質,30
87,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,脂質,12
88,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,粗繊維,3
89,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,灰分,9
90,チャオ　Cozy　Life（コージーライフ）　クランキー　かつお節味,水分,10
91,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,タンパク質,30
92,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,脂質,12
93,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,粗繊維,3
94,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,灰分,9
95,チャオ　Cozy　Life（コージーライフ）　クランキー　まぐろ節味,水分,10
96,いなば　金のだし　ドライ　かつおだし味,タンパク質,28
97,いなば　金のだし　ドライ　かつおだし味,脂質,8.5
98,いなば　金のだし　ドライ　かつおだし味,粗繊維,4.5
99,いなば　金のだし　ドライ　かつおだし味,灰分,9
100,いなば　金のだし　ドライ　かつおだし味,水分,10
101,いなば　金のだし　ドライ　まぐろだし味,タンパク質,28
102,いなば　金のだし　ドライ　まぐろだし味,脂質,8.5
103,いなば　金のだし　ドライ　まぐろだし味,粗繊維,4.5
104,いなば　金のだし　ドライ　まぐろだし味,灰分,9
105,いなば　金のだし　ドライ　まぐろだし味,水分,10
106,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,タンパク質,30
107,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,脂質,12
108,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,粗繊維,3
109,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,灰分,9
110,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ・チキンバラエティ,水分,10
111,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,タンパク質,30
112,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,脂質,12
113,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,粗繊維,3
114,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,灰分,9
115,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節・かつお節バラエティ,水分,10
116,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,タンパク質,30
117,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,脂質,12
118,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,粗繊維,3
119,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,灰分,9
120,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　チキンミックス味,水分,10
121,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,タンパク質,30
122,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,脂質,12
123,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,粗繊維,3
124,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,灰分,9
125,チャオ　Cozy　Life（コージーライフ）　クランキー　BOX　まぐろ節ミックス味,水分,10
126,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,タンパク質,30
127,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,脂質,12
128,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,粗繊維,3
129,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,灰分,9
130,チャオ　すごいカテキン　クランキー　まぐろ節・かつお節バラエティ,水分,10
131,チャオ　すごいカテキン　クランキー　チキンバラエティ,タンパク質,30
132,チャオ　すごいカテキン　クランキー　チキンバラエティ,脂質,12
133,チャオ　すごいカテキン　クランキー　チキンバラエティ,粗繊維,3
134,チャオ　すごいカテキン　クランキー　チキンバラエティ,灰分,9
135,チャオ　すごいカテキン　クランキー　チキンバラエティ,水分,10
136,チャオ　すごいカテキン　クランキー　かつお節バラエティ,タンパク質,30
137,チャオ　すごいカテキン　クランキー　かつお節バラエティ,脂質,12
138,チャオ　すごいカテキン　クランキー　かつお節バラエティ,粗繊維,3
139,チャオ　すごいカテキン　クランキー　かつお節バラエティ,灰分,9
140,チャオ　すごいカテキン　クランキー　かつお節バラエティ,水分,10
141,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,タンパク質,30
142,チャオ　すごいカテキン　クランキー　まぐろ節バラエティ,脂質,12
